CdStationMesureEauxSurface;LbStationMesureEauxSurface;CdPointEauxSurf;DateDebutOperationPrelBio;CdSupport;LbSupport;DtProdResultatBiologique;HeureResultat;CdParametreResultatBiologique;LbLongParametre;ResIndiceResultatBiologique;CdUniteMesure;SymUniteMesure;CdRqIndiceResultatBiologique;MnemoRqAna;CdMethEval;RefOperationPrelBio;CdProducteur;NomProducteur;CdAccredRsIndiceResultatBiologique;MnAccredRsIndiceResultatBiologique
02001945;LE HIRTZBACH À HIRSINGUE;003;2020-07-08;13;Macroinvertébrés aquatiques;;;7613;Indice Invertébrés Multimétrique (I2M2);0.9384;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;7082970;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);1;Analyse réalisée sous accréditation
02001990;LE DORFBAECHLE À CARSPACH (HOEFFELMATT);004;2020-07-09;13;Macroinvertébrés aquatiques;;;7613;Indice Invertébrés Multimétrique (I2M2);0.7514;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;7082971;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);1;Analyse réalisée sous accréditation
02002000;L'ILL À CARSPACH;013;2020-07-09;13;Macroinvertébrés aquatiques;;;7613;Indice Invertébrés Multimétrique (I2M2);0.7255;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;7082972;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);1;Analyse réalisée sous accréditation
02002000;L'ILL À CARSPACH;013;2021-08-26;13;Macroinvertébrés aquatiques;;;7613;Indice Invertébrés Multimétrique (I2M2);0.5495;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;7089766;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);1;Analyse réalisée sous accréditation
02002800;LE ZIPFELGRABEN À ASPACH;003;2021-08-05;13;Macroinvertébrés aquatiques;;;7613;Indice Invertébrés Multimétrique (I2M2);0.0519;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;7089767;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);1;Analyse réalisée sous accréditation
02003100;LE THALBACH À WITTERSDORF;002;2020-07-09;13;Macroinvertébrés aquatiques;;;7613;Indice Invertébrés Multimétrique (I2M2);0.2171;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;7082973;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);1;Analyse réalisée sous accréditation
02003100;LE THALBACH À WITTERSDORF;002;2021-08-26;13;Macroinvertébrés aquatiques;;;7613;Indice Invertébrés Multimétrique (I2M2);0.5662;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;7089768;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);1;Analyse réalisée sous accréditation
02003200;L'ILL À TAGOLSHEIM;003;2020-07-09;13;Macroinvertébrés aquatiques;;;7613;Indice Invertébrés Multimétrique (I2M2);0.3668;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;7082974;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);1;Analyse réalisée sous accréditation
02003200;L'ILL À TAGOLSHEIM;003;2021-08-26;13;Macroinvertébrés aquatiques;;;7613;Indice Invertébrés Multimétrique (I2M2);0.239;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;7089769;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);1;Analyse réalisée sous accréditation
02003350;LA LARGUE À SEPPOIS-LE-BAS;006;2020-07-08;13;Macroinvertébrés aquatiques;;;7613;Indice Invertébrés Multimétrique (I2M2);0.4902;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;7082975;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);1;Analyse réalisée sous accréditation
02003350;LA LARGUE À SEPPOIS-LE-BAS;006;2021-08-25;13;Macroinvertébrés aquatiques;;;7613;Indice Invertébrés Multimétrique (I2M2);0.4261;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;7089770;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);1;Analyse réalisée sous accréditation
02003397;LE RUISSEAU DE LARGITZEN À FRIESEN;004;2020-07-08;13;Macroinvertébrés aquatiques;;;7613;Indice Invertébrés Multimétrique (I2M2);0.8602;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;7082976;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);1;Analyse réalisée sous accréditation
02003400;LA LARGUE À FRIESEN;002;2020-07-08;13;Macroinvertébrés aquatiques;;;7613;Indice Invertébrés Multimétrique (I2M2);0.9756;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;7082977;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);1;Analyse réalisée sous accréditation
02003400;LA LARGUE À FRIESEN;002;2021-08-25;13;Macroinvertébrés aquatiques;;;7613;Indice Invertébrés Multimétrique (I2M2);0.9124;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;7089771;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);1;Analyse réalisée sous accréditation
02003610;L'ELBAECHEL À WOLFERSDORF;007;2020-07-10;13;Macroinvertébrés aquatiques;;;7613;Indice Invertébrés Multimétrique (I2M2);0.5251;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;7082978;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);1;Analyse réalisée sous accréditation
02003617;LE TRAUBACH À TRAUBACH-LE-BAS;006;2020-07-10;13;Macroinvertébrés aquatiques;;;7613;Indice Invertébrés Multimétrique (I2M2);0.041;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;7082979;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);1;Analyse réalisée sous accréditation
02003670;LE SOULTZBACH À BALSCHWILLER;003;2021-08-26;13;Macroinvertébrés aquatiques;;;7613;Indice Invertébrés Multimétrique (I2M2);0.3483;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;7089772;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);1;Analyse réalisée sous accréditation
02003800;LA LARGUE À SPECHBACH-LE-BAS;002;2020-07-09;13;Macroinvertébrés aquatiques;;;7613;Indice Invertébrés Multimétrique (I2M2);0.9769;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;7082980;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);1;Analyse réalisée sous accréditation
02003800;LA LARGUE À SPECHBACH-LE-BAS;002;2021-08-26;13;Macroinvertébrés aquatiques;;;7613;Indice Invertébrés Multimétrique (I2M2);0.9553;X;X;1;Résultat > seuil de quantification et < au seuil de saturation;;7089773;13001025900021;DIRECTION REGIONALE DE L'ENVIRONNEMENT DE L'AMENAGEMENT ET DU LOGEMENT GRAND EST (DREAL);1;Analyse réalisée sous accréditation
