CdStationMesureEauxSurface;LbStationMesureEauxSurface;DurStationMesureEauxSurface;CoordXStationMesureEauxSurface;CoordYStationMesureEauxSurface;CdProjStationMesureEauxSurface;LibelleProjection;CodeCommune;LbCommune;CodeDepartement;LbDepartement;CodeRegion;LbRegion;CdMasseDEau;CdEuMasseDEau;NomMasseDEau;CdEuSsBassinDCEAdmin;NomSsBassinDCEAdmin;CdBassinDCE;CdEuBassinDCE;NomEuBassinDCE;CdTronconHydrographique;CdCoursdEau;NomCoursdEau;CodeTypEthStationMesureEauxSurface;LibelleTypEthStationMesureEauxSurface;ComStationMesureEauxSurface;DateCreationStationMesureEauxSurface;DateArretActiviteStationMesureEauxSurface;DateMAJInfosStationMesureEauxSurface;FinaliteStationMesureEauxSurface;LocPreciseStationMesureEauxSurface;CodeNatureStationMesureEauxSurface;LibelleNatureStationMesureEauxSurface;AltitudePointCaracteritisque;PkPointTronconEntiteHydroPrincipale;PremierMoisAnneeEtiage;SuperficieBassinVersantReel;SuperficieBassinVersantTopo
02046550;LE MIRGRABEN À FORSTFELD;;1069410;6875963;26;RGF93 / Lambert 93;67140;Forstfeld;67;Bas-Rhin;44;Grand Est;CR204;;;;;;;;A3690410;A3690410;;2;Station qualité située sur un cours d'eau;;2008-01-01;2021-12-31;2021-05-05;;LE MIRGRABEN À FORSTFELD;0;Nature de la station inconnue;122;;;;
02047000;LE SELTZBACH À NIEDERROEDERN;;1069813;6878876;26;RGF93 / Lambert 93;67330;Niederrœdern;67;Bas-Rhin;44;Grand Est;CR205;;;;;;;;A3730200;A37-0200;;2;Station qualité située sur un cours d'eau;;1967-01-01;;2023-03-16;;LE SELTZBACH À NIEDERROEDERN;0;Nature de la station inconnue;125;;;;199
02047500;LA LAUTER À WEILER;;1058216;6893712;26;RGF93 / Lambert 93;67544;Wissembourg;67;Bas-Rhin;44;Grand Est;CR207;;;;;;;;A3800200;A38-0200;;2;Station qualité située sur un cours d'eau;Station sélectionnée dans le sous-réseau "RCS pesticides 25%";1991-01-01;;2023-09-15;;LA LAUTER À WEILER;0;Nature de la station inconnue;168;;;;10.2
02047750;LA LAUTER À LAUTERBOURG (B);;1079072;6887630;26;RGF93 / Lambert 93;67261;Lauterbourg;67;Bas-Rhin;44;Grand Est;CR207;;;;;;;;A3830200;A38-0200;;2;Station qualité située sur un cours d'eau;;1973-01-01;;2023-03-16;;LA LAUTER À LAUTERBOURG (B);0;Nature de la station inconnue;115;;;;92
02048960;LE RUISSEAU DE LA COLLINE DE FRESSE À FRESSE-SUR-MOSELLE;;985320;6761173;26;RGF93 / Lambert 93;88188;Fresse-sur-Moselle;88;Vosges;44;Grand Est;CR713;;;;;;;;A4020870;A4020870;;2;Station qualité située sur un cours d'eau;;1999-01-01;;2023-02-17;;LE RUISSEAU DE LA COLLINE DE FRESSE À FRESSE-SUR-MOSELLE;0;Nature de la station inconnue;630;;;;
02048980;LA MOSELLE À RAMONCHAMP;;979342;6761239;26;RGF93 / Lambert 93;88369;Ramonchamp;88;Vosges;44;Grand Est;CR208;;;;;;;;A4040060;A---0060;;2;Station qualité située sur un cours d'eau;;1989-01-01;;2023-03-16;;LA MOSELLE À RAMONCHAMP;0;Nature de la station inconnue;468;;;;118.54
02049000;LA MOSELLE À SAULX;;975277;6762983;26;RGF93 / Lambert 93;88408;Rupt-sur-Moselle;88;Vosges;44;Grand Est;CR208;;;;;;;;A4050060;A---0060;;2;Station qualité située sur un cours d'eau;;1971-01-01;;2023-09-25;;LA MOSELLE À SAULX;0;Nature de la station inconnue;439;469.71;;;151.6
02049500;LA MOSELOTTE À SAULXURES-SUR-MOSELOTTE;;978578;6769041;26;RGF93 / Lambert 93;88467;Thiéfosse;88;Vosges;44;Grand Est;CR223;;;;;;;;A4140200;A41-0200;;2;Station qualité située sur un cours d'eau;;1991-01-01;;2023-03-16;;LA MOSELOTTE À SAULXURES-SUR-MOSELOTTE;0;Nature de la station inconnue;440;;;;157.81
02049900;LA CLEURIE À CLEURIE;;975792;6779526;26;RGF93 / Lambert 93;88109;Cleurie;88;Vosges;44;Grand Est;CR225;;;;;;;;A4170300;A4170300;;2;Station qualité située sur un cours d'eau;;1976-01-01;;2023-03-16;;LA CLEURIE À CLEURIE;0;Nature de la station inconnue;470;;;;58.56
02050000;LA MOSELOTTE À AUTRIVE;;970295;6774446;26;RGF93 / Lambert 93;88409;Saint-Amé;88;Vosges;44;Grand Est;CR224;;;;;;;;A4180200;A41-0200;;2;Station qualité située sur un cours d'eau;;1971-01-01;;2022-11-22;Contrôle de surveillance DCE;LA MOSELOTTE À AUTRIVE;0;Nature de la station inconnue;386;;;;353.59
02051500;LE NEUNÉ À LA HOUSSIERE;;985215;6795762;26;RGF93 / Lambert 93;88244;La Houssière;88;Vosges;44;Grand Est;CR230;;;;;;;;A4330300;A4330300;;2;Station qualité située sur un cours d'eau;Crée sous le nom provisoire STATION REPRÉS. ME CR230 - NEUNE et le numéro NWCR230;2018-01-01;2027-12-31;2022-11-23;;LE NEUNÉ À LA HOUSSIERE;0;Nature de la station inconnue;0;;;;
