CdStationMesureEauxSurface;LbStationMesureEauxSurface;DurStationMesureEauxSurface;CoordXStationMesureEauxSurface;CoordYStationMesureEauxSurface;CdProjStationMesureEauxSurface;LibelleProjection;CodeCommune;LbCommune;CodeDepartement;LbDepartement;CodeRegion;LbRegion;CdMasseDEau;CdEuMasseDEau;NomMasseDEau;CdEuSsBassinDCEAdmin;NomSsBassinDCEAdmin;CdBassinDCE;CdEuBassinDCE;NomEuBassinDCE;CdTronconHydrographique;CdCoursdEau;NomCoursdEau;CodeTypEthStationMesureEauxSurface;LibelleTypEthStationMesureEauxSurface;ComStationMesureEauxSurface;DateCreationStationMesureEauxSurface;DateArretActiviteStationMesureEauxSurface;DateMAJInfosStationMesureEauxSurface;FinaliteStationMesureEauxSurface;LocPreciseStationMesureEauxSurface;CodeNatureStationMesureEauxSurface;LibelleNatureStationMesureEauxSurface;AltitudePointCaracteritisque;PkPointTronconEntiteHydroPrincipale;PremierMoisAnneeEtiage;SuperficieBassinVersantReel;SuperficieBassinVersantTopo
02018500;L'ILL À COLMAR (MAISON ROUGE);;1028743;6792597;26;RGF93 / Lambert 93;68066;Colmar;68;Haut-Rhin;44;Grand Est;CR20;;;;;;;;A1610030;A---0030;;2;Station qualité située sur un cours d'eau;;1997-01-01;;2022-04-04;;L'ILL À COLMAR (MAISON ROUGE);0;Nature de la station inconnue;180;;;;1821.8
02018780;LA PETITE FECHT À STOSSWIHR (B);;1002465;6780412;26;RGF93 / Lambert 93;68329;Stosswihr;68;Haut-Rhin;44;Grand Est;CR95;;;;;;;;A2020300;A2020300;;2;Station qualité située sur un cours d'eau;Station sélectionnée dans le sous-réseau "RCS pesticides 25%";2005-01-01;;2022-04-04;;LA PETITE FECHT À STOSSWIHR (B);0;Nature de la station inconnue;519;;;;10.02
02019000;LA FECHT À WALBACH;;1015630;6782934;26;RGF93 / Lambert 93;68354;Walbach;68;Haut-Rhin;44;Grand Est;CR85;;;;;;;;A2040100;A2--0100;;2;Station qualité située sur un cours d'eau;;1971-01-01;;2023-09-18;;LA FECHT À WALBACH;0;Nature de la station inconnue;269;;;;212.2
02019200;LA FECHT À INGERSHEIM;;1019653;6785445;26;RGF93 / Lambert 93;68155;Ingersheim;68;Haut-Rhin;44;Grand Est;CR86;;;;;;;;A2040100;A2--0100;;2;Station qualité située sur un cours d'eau;;2008-01-01;2021-12-31;2019-05-06;;LA FECHT À INGERSHEIM;0;Nature de la station inconnue;226;;;;
02019500;LE MUHLBACH DE TURCKHEIM À WINTZENHEIM;;1020775;6784931;26;RGF93 / Lambert 93;68374;Wintzenheim;68;Haut-Rhin;44;Grand Est;CR83;;;;;;;;A1600952;A1600952;;2;Station qualité située sur un cours d'eau;;1982-01-01;;2019-05-07;;LE MUHLBACH DE TURCKHEIM À WINTZENHEIM;0;Nature de la station inconnue;218;;;;4.5
02019950;LE WALBACH À AMMERSCHWIHR;;1017349;6789055;26;RGF93 / Lambert 93;68005;Ammerschwihr;68;Haut-Rhin;44;Grand Est;CR102;;;;;;;;A2130350;A2130350;;2;Station qualité située sur un cours d'eau;http://maps.google.fr/maps?f=q&source=s_q&hl=fr&geocode=&q=Ammerschwihr&sll=48.144902,7.254644&sspn=0.076628,0.15398&ie=UTF8&hq=&hnear=Ammerschwihr,+Haut-Rhin,+Alsace&ll=48.125066,7.267005&spn=0,359.980752&t=h&z=16&layer=c&cbll=48.125012,7.26719&panoid=P8Yh2qu8ZpGMcxF8FQ6Q4w&cbp=12,134.35,,0,8.51;2010-01-01;;2023-01-17;;LE WALBACH À AMMERSCHWIHR;0;Nature de la station inconnue;270;;;;
02020000;LA WEISS À SIGOLSHEIM;;1020853;6789816;26;RGF93 / Lambert 93;68162;Kaysersberg Vignoble;68;Haut-Rhin;44;Grand Est;CR98;;;;;;;;A2130200;A21-0200;;2;Station qualité située sur un cours d'eau;;1971-01-01;;2020-03-03;;LA WEISS À SIGOLSHEIM;0;Nature de la station inconnue;202;;;;167.26
02020750;LE STRENGBACH À RIBEAUVILLE;;1025633;6795653;26;RGF93 / Lambert 93;68113;Guémar;68;Haut-Rhin;44;Grand Est;CR104;;;;;;;;A2150300;A2150300;;2;Station qualité située sur un cours d'eau;;1973-01-01;2027-12-31;2023-09-25;;LE STRENGBACH À RIBEAUVILLE;0;Nature de la station inconnue;182;;;;40.2
02021000;LA FECHT À GUEMAR;;1026888;6796518;26;RGF93 / Lambert 93;68113;Guémar;68;Haut-Rhin;44;Grand Est;CR87;;;;;;;;A2160100;A2--0100;;2;Station qualité située sur un cours d'eau;;1967-01-01;;2022-05-13;;LA FECHT À GUEMAR;0;Nature de la station inconnue;175;;;;516.5
02022000;L'ILL À ILLHAEUSERN;;1029238;6796402;26;RGF93 / Lambert 93;68153;Illhaeusern;68;Haut-Rhin;44;Grand Est;CR20;;;;;;;;A2200030;A---0030;;2;Station qualité située sur un cours d'eau;;1967-01-01;;2016-07-22;;L'ILL À ILLHAEUSERN;0;Nature de la station inconnue;177;;;;2364.8
02022650;LE RIEDBRUNNEN À COLMAR (LINDEN MATTEN);;1030583;6793890;26;RGF93 / Lambert 93;68066;Colmar;68;Haut-Rhin;44;Grand Est;CR108;;;;;;;;A2220660;A2220660;;2;Station qualité située sur un cours d'eau;;2005-01-01;;2023-07-03;;LE RIEDBRUNNEN À COLMAR (LINDEN MATTEN);0;Nature de la station inconnue;177;;;;
02022670;LE FORSTLACH À SELESTAT (ILLWALD);;1030589;6800712;26;RGF93 / Lambert 93;67462;Sélestat;67;Bas-Rhin;44;Grand Est;CR109;;;;;;;;A2220712;A2220712;;2;Station qualité située sur un cours d'eau;;2008-01-01;2026-12-31;2022-01-28;;LE FORSTLACH À SELESTAT (ILLWALD);0;Nature de la station inconnue;172;;;;
02022675;LE KRUMMLACH À SELESTAT (ILLWALD);;1030486;6800727;26;RGF93 / Lambert 93;67462;Sélestat;67;Bas-Rhin;44;Grand Est;CR110;;;;;;;;A2220742;A2220742;;2;Station qualité située sur un cours d'eau;Risque d'assec estival (juillet-août);2008-01-01;2027-12-31;2022-11-21;;LE KRUMMLACH À SELESTAT (ILLWALD);0;Nature de la station inconnue;172;;;;
02022700;L'ILL À BALDENHEIM (RATHSAMHAUSEN LE HAUT);;1033723;6805243;26;RGF93 / Lambert 93;67019;Baldenheim;67;Bas-Rhin;44;Grand Est;CR21;;;;;;;;A2220030;A---0030;;2;Station qualité située sur un cours d'eau;;1994-01-01;;2020-12-07;;L'ILL À BALDENHEIM (RATHSAMHAUSEN LE HAUT);0;Nature de la station inconnue;168;;;;2467
02022800;LA BLIND À BALDENHEIM;;1034769;6804629;26;RGF93 / Lambert 93;67019;Baldenheim;67;Bas-Rhin;44;Grand Est;CR106;;;;;;;;A2260200;A22-0200;;2;Station qualité située sur un cours d'eau;;1994-01-01;;2022-04-14;;LA BLIND À BALDENHEIM;0;Nature de la station inconnue;169;;;;420.8
02023000;LE GIESSEN À THANVILLE;;1022210;6810951;26;RGF93 / Lambert 93;67490;Thanvillé;67;Bas-Rhin;44;Grand Est;CR112;;;;;;;;A2310200;A23-0200;;2;Station qualité située sur un cours d'eau;;1971-01-01;;2022-04-06;;LE GIESSEN À THANVILLE;0;Nature de la station inconnue;231;;;;102.09
02023750;LA LIEPVRETTE À LIEPVRE;;1016663;6805137;26;RGF93 / Lambert 93;68185;Lièpvre;68;Haut-Rhin;44;Grand Est;CR116;;;;;;;;A2330210;A23-0210;;2;Station qualité située sur un cours d'eau;;1992-01-01;;2023-06-26;;LA LIEPVRETTE À LIEPVRE;0;Nature de la station inconnue;276;;;;
02024000;LA LIEPVRETTE À HURST;;1022148;6806415;26;RGF93 / Lambert 93;67505;La Vancelle;67;Bas-Rhin;44;Grand Est;CR117;;;;;;;;A2340210;A23-0210;;2;Station qualité située sur un cours d'eau;;1967-01-01;;2023-03-14;;LA LIEPVRETTE À HURST;0;Nature de la station inconnue;227;;;;124.8
02024300;LE GIESSEN À CHATENOIS;;1026408;6806993;26;RGF93 / Lambert 93;67073;Châtenois;67;Bas-Rhin;44;Grand Est;CR113;;;;;;;;A2350200;A23-0200;;2;Station qualité située sur un cours d'eau;;2008-01-01;;2023-09-25;;LE GIESSEN À CHATENOIS;0;Nature de la station inconnue;193;;;;
02025100;LE GIESSEN À EBERSHEIM;;1034280;6807961;26;RGF93 / Lambert 93;67115;Ebersheim;67;Bas-Rhin;44;Grand Est;CR114;;;;;;;;A2350200;A23-0200;;2;Station qualité située sur un cours d'eau;;1997-01-01;;2023-02-03;;LE GIESSEN À EBERSHEIM;0;Nature de la station inconnue;166;;;;273.5
